id,level,kind,source,page,title,reading,status
N2-vocab-0086,N2,vocab,N2 Junbi Từ vựng,28,節約,せつやく,TITLE_IN_PDF
N2-vocab-0087,N2,vocab,N2 Junbi Từ vựng,29,苦情,くじょう,TITLE_IN_PDF
N2-vocab-0088,N2,vocab,N2 Junbi Từ vựng,29,名所,めいしょ,TITLE_IN_PDF
N2-vocab-0089,N2,vocab,N2 Junbi Từ vựng,29,記憶,きおく,TITLE_IN_PDF
N2-vocab-0090,N2,vocab,N2 Junbi Từ vựng,29,不平,ふへい,TITLE_IN_PDF
N2-vocab-0091,N2,vocab,N2 Junbi Từ vựng,30,限定,げんてい,TITLE_IN_PDF
N2-vocab-0092,N2,vocab,N2 Junbi Từ vựng,30,論戦,ろんせん,TITLE_IN_PDF
N2-vocab-0093,N2,vocab,N2 Junbi Từ vựng,30,独特,どくとく,TITLE_IN_PDF
N2-vocab-0094,N2,vocab,N2 Junbi Từ vựng,31,じたばた,,TITLE_IN_PDF
N2-vocab-0095,N2,vocab,N2 Junbi Từ vựng,31,役目,やくめ,TITLE_IN_PDF
N2-vocab-0096,N2,vocab,N2 Junbi Từ vựng,31,最寄り,もより,TITLE_IN_PDF
N2-vocab-0097,N2,vocab,N2 Junbi Từ vựng,31,解約,かいやく,TITLE_IN_PDF
N2-vocab-0098,N2,vocab,N2 Junbi Từ vựng,31,演説,えんぜつ,TITLE_IN_PDF
N2-vocab-0099,N2,vocab,N2 Junbi Từ vựng,31,点検,てんけん,TITLE_IN_PDF
N2-vocab-0100,N2,vocab,N2 Junbi Từ vựng,32,地元,じもと,TITLE_IN_PDF
N2-vocab-0101,N2,vocab,N2 Junbi Từ vựng,33,敏感,びんかん,TITLE_IN_PDF
N2-vocab-0102,N2,vocab,N2 Junbi Từ vựng,33,保存,ほぞん,TITLE_IN_PDF
N2-vocab-0103,N2,vocab,N2 Junbi Từ vựng,33,日課,にっか,TITLE_IN_PDF
N2-vocab-0104,N2,vocab,N2 Junbi Từ vựng,34,油断,ゆだん,TITLE_IN_PDF
N2-vocab-0105,N2,vocab,N2 Junbi Từ vựng,34,分担,ぶんたん,TITLE_IN_PDF
N2-vocab-0106,N2,vocab,N2 Junbi Từ vựng,34,同情,どうじょう,TITLE_IN_PDF
N2-vocab-0107,N2,vocab,N2 Junbi Từ vựng,34,初歩,しょほ,TITLE_IN_PDF
N2-vocab-0108,N2,vocab,N2 Junbi Từ vựng,35,本物,ほんもの,TITLE_IN_PDF
N2-vocab-0109,N2,vocab,N2 Junbi Từ vựng,35,あこがれ,,TITLE_IN_PDF
N2-vocab-0110,N2,vocab,N2 Junbi Từ vựng,35,転勤,てんきん,TITLE_IN_PDF
N2-vocab-0111,N2,vocab,N2 Junbi Từ vựng,36,栽培,さいばい,TITLE_IN_PDF
N2-vocab-0112,N2,vocab,N2 Junbi Từ vựng,36,動揺,どうよう,TITLE_IN_PDF
N2-vocab-0113,N2,vocab,N2 Junbi Từ vựng,36,かかりつけ,,TITLE_IN_PDF
N2-vocab-0114,N2,vocab,N2 Junbi Từ vựng,36,特殊,とくしゅ,TITLE_IN_PDF
N2-vocab-0115,N2,vocab,N2 Junbi Từ vựng,37,素材,そざい,TITLE_IN_PDF
N2-vocab-0116,N2,vocab,N2 Junbi Từ vựng,37,充満,じゅうまん,TITLE_IN_PDF
N2-vocab-0117,N2,vocab,N2 Junbi Từ vựng,37,信頼,しんらい,TITLE_IN_PDF
N2-vocab-0118,N2,vocab,N2 Junbi Từ vựng,37,尊重,そんちょう,TITLE_IN_PDF
N2-vocab-0119,N2,vocab,N2 Junbi Từ vựng,38,初期,しょき,TITLE_IN_PDF
N2-vocab-0120,N2,vocab,N2 Junbi Từ vựng,38,欠陥,けっかん,TITLE_IN_PDF
N2-vocab-0121,N2,vocab,N2 Junbi Từ vựng,39,評価,ひょうか,TITLE_IN_PDF
N2-vocab-0122,N2,vocab,N2 Junbi Từ vựng,39,診断,しんだん,TITLE_IN_PDF
N2-vocab-0123,N2,vocab,N2 Junbi Từ vựng,40,権利,けんり,TITLE_IN_PDF
N2-vocab-0124,N2,vocab,N2 Junbi Từ vựng,40,増大,ぞうだい,TITLE_IN_PDF
N2-vocab-0125,N2,vocab,N2 Junbi Từ vựng,40,上達,じょうたつ,TITLE_IN_PDF
N2-vocab-0126,N2,vocab,N2 Junbi Từ vựng,40,視察,しさつ,TITLE_IN_PDF
N2-vocab-0127,N2,vocab,N2 Junbi Từ vựng,41,削除,さくじょ,TITLE_IN_PDF
N2-vocab-0128,N2,vocab,N2 Junbi Từ vựng,41,減量,げんりょう,TITLE_IN_PDF
N2-vocab-0129,N2,vocab,N2 Junbi Từ vựng,41,整備,せいび,TITLE_IN_PDF
N2-vocab-0130,N2,vocab,N2 Junbi Từ vựng,41,視線,しせん,TITLE_IN_PDF
N2-vocab-0131,N2,vocab,N2 Junbi Từ vựng,42,評価,ひょうか,TITLE_IN_PDF
N2-vocab-0132,N2,vocab,N2 Junbi Từ vựng,42,診断,しんだん,TITLE_IN_PDF
N2-vocab-0133,N2,vocab,N2 Junbi Từ vựng,43,権利,けんり,TITLE_IN_PDF
N2-vocab-0134,N2,vocab,N2 Junbi Từ vựng,43,増大,ぞうだい,TITLE_IN_PDF
N2-vocab-0135,N2,vocab,N2 Junbi Từ vựng,43,上達,じょうたつ,TITLE_IN_PDF
N2-vocab-0136,N2,vocab,N2 Junbi Từ vựng,43,視察,しさつ,TITLE_IN_PDF
N2-vocab-0137,N2,vocab,N2 Junbi Từ vựng,44,削除,さくじょ,TITLE_IN_PDF
N2-vocab-0138,N2,vocab,N2 Junbi Từ vựng,44,減量,げんりょう,TITLE_IN_PDF
N2-vocab-0139,N2,vocab,N2 Junbi Từ vựng,44,整備,せいび,TITLE_IN_PDF
N2-vocab-0140,N2,vocab,N2 Junbi Từ vựng,44,視線,しせん,TITLE_IN_PDF
N2-vocab-0141,N2,vocab,N2 Junbi Từ vựng,45,才能,さいのう,TITLE_IN_PDF
N2-vocab-0142,N2,vocab,N2 Junbi Từ vựng,45,効用,こうよう,TITLE_IN_PDF
N2-vocab-0143,N2,vocab,N2 Junbi Từ vựng,45,効力,こうりょく,TITLE_IN_PDF
N2-vocab-0144,N2,vocab,N2 Junbi Từ vựng,46,避難,ひなん,TITLE_IN_PDF
N2-vocab-0145,N2,vocab,N2 Junbi Từ vựng,46,盗難,とうなん,TITLE_IN_PDF
N2-vocab-0146,N2,vocab,N2 Junbi Từ vựng,46,改造,かいぞう,TITLE_IN_PDF
N2-vocab-0147,N2,vocab,N2 Junbi Từ vựng,46,転換,てんかん,TITLE_IN_PDF
N2-vocab-0148,N2,vocab,N2 Junbi Từ vựng,46,非難,ひなん,TITLE_IN_PDF
N2-vocab-0149,N2,vocab,N2 Junbi Từ vựng,47,要所,ようしょ,TITLE_IN_PDF
N2-vocab-0150,N2,vocab,N2 Junbi Từ vựng,47,展開,てんかい,TITLE_IN_PDF
N2-vocab-0151,N2,vocab,N2 Junbi Từ vựng,48,解放,かいほう,TITLE_IN_PDF
N2-vocab-0152,N2,vocab,N2 Junbi Từ vựng,48,退出,たいしゅつ,TITLE_IN_PDF
N2-vocab-0153,N2,vocab,N2 Junbi Từ vựng,48,意図,いと,TITLE_IN_PDF
N2-vocab-0154,N2,vocab,N2 Junbi Từ vựng,49,根気,こんき,TITLE_IN_PDF
N2-vocab-0155,N2,vocab,N2 Junbi Từ vựng,49,統一,とういつ,TITLE_IN_PDF
N2-vocab-0156,N2,vocab,N2 Junbi Từ vựng,49,特定,とくてい,TITLE_IN_PDF
N2-vocab-0157,N2,vocab,N2 Junbi Từ vựng,49,容姿,ようし,TITLE_IN_PDF
N2-vocab-0158,N2,vocab,N2 Junbi Từ vựng,50,発想,はっそう,TITLE_IN_PDF
N2-vocab-0159,N2,vocab,N2 Junbi Từ vựng,50,仮定,かてい,TITLE_IN_PDF
N2-vocab-0160,N2,vocab,N2 Junbi Từ vựng,50,目印,めじるし,TITLE_IN_PDF
N2-vocab-0161,N2,vocab,N2 Junbi Từ vựng,51,対応,たいおう,TITLE_IN_PDF
N2-vocab-0162,N2,vocab,N2 Junbi Từ vựng,51,特徴,とくちょう,TITLE_IN_PDF
N2-vocab-0163,N2,vocab,N2 Junbi Từ vựng,51,向こう,むこう,TITLE_IN_PDF
N2-vocab-0164,N2,vocab,N2 Junbi Từ vựng,52,引用,いんよう,TITLE_IN_PDF
N2-vocab-0165,N2,vocab,N2 Junbi Từ vựng,52,吸収,きゅうしゅう,TITLE_IN_PDF
N2-vocab-0166,N2,vocab,N2 Junbi Từ vựng,52,性能,せいのう,TITLE_IN_PDF
N2-vocab-0167,N2,vocab,N2 Junbi Từ vựng,52,得点,とくてん,TITLE_IN_PDF
N2-vocab-0168,N2,vocab,N2 Junbi Từ vựng,53,予報,よほう,TITLE_IN_PDF
N2-vocab-0169,N2,vocab,N2 Junbi Từ vựng,53,実現,じつげん,TITLE_IN_PDF
N2-vocab-0170,N2,vocab,N2 Junbi Từ vựng,53,達成,たっせい,TITLE_IN_PDF
N2-vocab-0171,N2,vocab,N2 Junbi Từ vựng,54,対比,たいひ,TITLE_IN_PDF
