id,source,page,title,status,old_len,new_len
N2-vocab-0141,N2 Junbi Từ vựng,45,才能,replaced,94,84
N2-vocab-0142,N2 Junbi Từ vựng,45,効用,replaced,58,58
N2-vocab-0143,N2 Junbi Từ vựng,45,効力,replaced,67,81
N2-vocab-0144,N2 Junbi Từ vựng,46,避難,replaced,108,108
N2-vocab-0145,N2 Junbi Từ vựng,46,盗難,replaced,61,61
N2-vocab-0146,N2 Junbi Từ vựng,46,改造,replaced,87,87
N2-vocab-0147,N2 Junbi Từ vựng,46,転換,replaced,121,112
N2-vocab-0148,N2 Junbi Từ vựng,46,非難,replaced,86,80
N2-vocab-0149,N2 Junbi Từ vựng,47,要所,replaced,100,100
N2-vocab-0150,N2 Junbi Từ vựng,47,展開,replaced,145,145
N2-vocab-0151,N2 Junbi Từ vựng,48,解放,replaced,102,102
N2-vocab-0152,N2 Junbi Từ vựng,48,退出,replaced,93,93
N2-vocab-0153,N2 Junbi Từ vựng,48,意図,replaced,61,75
N2-vocab-0154,N2 Junbi Từ vựng,49,根気,replaced,81,81
N2-vocab-0155,N2 Junbi Từ vựng,49,統一,replaced,103,103
N2-vocab-0156,N2 Junbi Từ vựng,49,特定,replaced,167,167
N2-vocab-0157,N2 Junbi Từ vựng,49,容姿,replaced,93,93
N2-vocab-0158,N2 Junbi Từ vựng,50,発想,replaced,79,79
N2-vocab-0159,N2 Junbi Từ vựng,50,仮定,replaced,90,90
N2-vocab-0160,N2 Junbi Từ vựng,50,目印,replaced,134,134
N2-vocab-0161,N2 Junbi Từ vựng,51,対応,replaced,102,102
N2-vocab-0162,N2 Junbi Từ vựng,51,特徴,replaced,50,50
N2-vocab-0163,N2 Junbi Từ vựng,51,向こう,replaced,119,133
N2-vocab-0164,N2 Junbi Từ vựng,52,引用,replaced,81,81
N2-vocab-0165,N2 Junbi Từ vựng,52,吸収,replaced,182,190
N2-vocab-0166,N2 Junbi Từ vựng,52,性能,replaced,60,60
N2-vocab-0167,N2 Junbi Từ vựng,52,得点,replaced,115,115
N2-vocab-0168,N2 Junbi Từ vựng,53,予報,replaced,118,118
N2-vocab-0169,N2 Junbi Từ vựng,53,実現,replaced,79,79
N2-vocab-0170,N2 Junbi Từ vựng,53,達成,replaced,65,65
N2-vocab-0171,N2 Junbi Từ vựng,54,対比,replaced,59,59
N2-vocab-0172,N2 Junbi Từ vựng,54,大別,replaced,57,57
N2-vocab-0173,N2 Junbi Từ vựng,54,伝染,replaced,172,186
N2-vocab-0174,N2 Junbi Từ vựng,55,選出,replaced,59,59
N2-vocab-0175,N2 Junbi Từ vựng,55,寄付,replaced,97,97
N2-vocab-0176,N2 Junbi Từ vựng,55,先端,replaced,140,140
N2-vocab-0177,N2 Junbi Từ vựng,55,表現,replaced,109,109
N2-vocab-0178,N2 Junbi Từ vựng,56,明示,replaced,74,74
N2-vocab-0179,N2 Junbi Từ vựng,56,専属,replaced,84,84
N2-vocab-0180,N2 Junbi Từ vựng,56,孤立,replaced,68,68
N2-vocab-0181,N2 Junbi Từ vựng,57,分別,replaced,102,92
N2-vocab-0182,N2 Junbi Từ vựng,57,区分,replaced,75,75
N2-vocab-0183,N2 Junbi Từ vựng,57,現状,replaced,61,47
N2-vocab-0184,N2 Junbi Từ vựng,57,移行,replaced,90,104
N2-vocab-0185,N2 Junbi Từ vựng,58,移住,replaced,76,76
N2-vocab-0186,N2 Junbi Từ vựng,58,養成,replaced,83,83
N2-vocab-0187,N2 Junbi Từ vựng,58,考慮,replaced,288,251
N2-vocab-0188,N2 Junbi Từ vựng,58,測定,replaced,66,66
N2-vocab-0189,N2 Junbi Từ vựng,59,提案,replaced,110,110
N2-vocab-0190,N2 Junbi Từ vựng,59,信仰,replaced,65,65
N2-vocab-0191,N2 Junbi Từ vựng,60,定着,replaced,111,105
N2-vocab-0192,N2 Junbi Từ vựng,60,愛情,replaced,86,86
N2-vocab-0193,N2 Junbi Từ vựng,60,判断,replaced,86,100
N2-vocab-0194,N2 Junbi Từ vựng,61,凸凹,replaced,52,52
N2-vocab-0195,N2 Junbi Từ vựng,61,教育,replaced,65,65
N2-vocab-0196,N2 Junbi Từ vựng,61,大臣,replaced,38,38
N2-vocab-0197,N2 Junbi Từ vựng,61,やる気,replaced,136,136
N2-vocab-0198,N2 Junbi Từ vựng,61,指摘,replaced,94,73
N2-vocab-0199,N2 Junbi Từ vựng,62,決勝戦,replaced,96,96
N2-vocab-0200,N2 Junbi Từ vựng,62,活気,replaced,110,110
N2-vocab-0201,N2 Junbi Từ vựng,63,放映,replaced,103,93
N2-vocab-0202,N2 Junbi Từ vựng,63,採用,replaced,186,201
N2-vocab-0203,N2 Junbi Từ vựng,64,進出,replaced,131,131
N2-vocab-0204,N2 Junbi Từ vựng,64,俳優,replaced,69,69
N2-vocab-0205,N2 Junbi Từ vựng,64,組織,replaced,74,74
N2-vocab-0206,N2 Junbi Từ vựng,64,真夏,replaced,107,107
N2-vocab-0207,N2 Junbi Từ vựng,65,政党,replaced,51,51
N2-vocab-0208,N2 Junbi Từ vựng,65,退場,replaced,91,91
N2-vocab-0209,N2 Junbi Từ vựng,65,拡大,replaced,148,148
N2-vocab-0210,N2 Junbi Từ vựng,65,向上,replaced,114,114
N2-vocab-0211,N2 Junbi Từ vựng,66,需要,replaced,132,132
N2-vocab-0212,N2 Junbi Từ vựng,66,半球,replaced,55,55
N2-vocab-0213,N2 Junbi Từ vựng,66,投票,replaced,53,67
N2-vocab-0214,N2 Junbi Từ vựng,67,主人公,replaced,80,125
N2-vocab-0215,N2 Junbi Từ vựng,67,区切り,replaced,68,24
