id,type,before,after
N2-vocab-0899,extra_manual,"{""title"": ""評判"", ""reading"": ""ひょうばん"", ""meaning_vi"": ""1. Đánh giá/Có tiếng 2. Sự vào lưới, tới đích""}","{""title"": ""ゴール"", ""reading"": """", ""meaning_vi"": ""1. Đích, vạch đích 2. Bàn thắng 3. Mục tiêu cuối cùng""}"
N3-vocab-0144,extra_manual,"{""title"": ""(を)思い出す"", ""reading"": ""おもだす"", ""meaning_vi"": ""Nhớ lại/ Nhớ ra""}","{""title"": ""(を)思い出す"", ""reading"": ""おもいだす"", ""meaning_vi"": ""Nhớ lại/ Nhớ ra""}"
N3-vocab-0146,extra_manual,"{""title"": ""(を)申し込む"", ""reading"": ""もうこむ"", ""meaning_vi"": ""1. Đăng ký 2. Cầu hôn""}","{""title"": ""(を)申し込む"", ""reading"": ""もうしこむ"", ""meaning_vi"": ""1. Đăng ký 2. Cầu hôn""}"
N3-vocab-0166,extra_manual,"{""title"": ""(が)付き合う"", ""reading"": ""つあう"", ""meaning_vi"": ""1. Giao du/ Chơi với 2. Cùng làm/ Có hẹn với 3. Hẹn hò""}","{""title"": ""(が)付き合う"", ""reading"": ""つきあう"", ""meaning_vi"": ""1. Giao du/ Chơi với 2. Cùng làm/ Có hẹn với 3. Hẹn hò""}"
N3-vocab-0174,extra_manual,"{""title"": ""(が)すれ違う"", ""reading"": ""ちがう"", ""meaning_vi"": ""1. Tránh nhau, đi lướt qua 2. Không hiểu nhau 3. Lệch (giờ, địa điểm)""}","{""title"": ""(が)すれ違う"", ""reading"": ""すれちがう"", ""meaning_vi"": ""1. Tránh nhau, đi lướt qua 2. Không hiểu nhau 3. Lệch (giờ, địa điểm)""}"
N3-vocab-0230,extra_manual,"{""title"": ""頼み・願い"", ""reading"": ""たのねがい"", ""meaning_vi"": ""1. Lời thỉnh cầu,""}","{""title"": ""頼み・願い"", ""reading"": ""たのみ・ねがい"", ""meaning_vi"": ""1. Lời thỉnh cầu,""}"
N3-vocab-0253,extra_manual,"{""title"": ""怒り"", ""reading"": """", ""meaning_vi"": ""Tức giận""}","{""title"": ""怒り"", ""reading"": ""いかり"", ""meaning_vi"": ""Tức giận""}"
N3-vocab-0311,extra_manual,"{""title"": ""(お)礼"", ""reading"": ""れい"", ""meaning_vi"": ""Cảm ơn""}","{""title"": ""(お)礼"", ""reading"": ""おれい"", ""meaning_vi"": ""Cảm ơn""}"
N3-vocab-0312,extra_manual,"{""title"": ""(お)詫び"", ""reading"": ""わび"", ""meaning_vi"": ""Xin lỗi""}","{""title"": ""(お)詫び"", ""reading"": ""おわび"", ""meaning_vi"": ""Xin lỗi""}"
N3-vocab-0313,extra_manual,"{""title"": ""(お) 辞儀"", ""reading"": ""じぎ"", ""meaning_vi"": ""Cúi chào""}","{""title"": ""(お) 辞儀"", ""reading"": ""おじぎ"", ""meaning_vi"": ""Cúi chào""}"
N3-vocab-0460,extra_manual,"{""title"": ""(を)繰り返す"", ""reading"": ""くかえす"", ""meaning_vi"": ""Lặp lại""}","{""title"": ""(を)繰り返す"", ""reading"": ""くりかえす"", ""meaning_vi"": ""Lặp lại""}"
N3-vocab-0560,extra_manual,"{""title"": ""正確(な)"", ""reading"": ""せいかく"", ""meaning_vi"": ""Chính xác""}","{""title"": ""正確(な)"", ""reading"": ""せいかく"", ""meaning_vi"": ""Chính xác""}"
N3-vocab-0600,extra_manual,"{""title"": ""あっと言う間(に)"", ""reading"": ""いま(に)"", ""meaning_vi"": ""Loáng một cái/ Trong nháy mắt, trong khoảnh khắc""}","{""title"": ""あっと言う間(に)"", ""reading"": ""あっというま"", ""meaning_vi"": ""Loáng một cái/ Trong nháy mắt, trong khoảnh khắc""}"
N3-vocab-0601,extra_manual,"{""title"": ""いつの間にか"", ""reading"": ""まにか"", ""meaning_vi"": ""Lúc nào không biết""}","{""title"": ""いつの間にか"", ""reading"": ""いつのまにか"", ""meaning_vi"": ""Lúc nào không biết""}"
N3-vocab-0732,extra_manual,"{""title"": ""(を)思いやる"", ""reading"": """", ""meaning_vi"": ""Quan tâm (nghĩ cho người khác)""}","{""title"": ""(を)思いやる"", ""reading"": ""おもいやる"", ""meaning_vi"": ""Quan tâm (nghĩ cho người khác)""}"
N3-vocab-0744,extra_manual,"{""title"": ""(が)つながる"", ""reading"": """", ""meaning_vi"": ""1. Nối, kết nối 2. (Kéo dài) liên tục 3. Kết nối (điện thoại, mạng)""}","{""title"": ""(が)つながる"", ""reading"": ""つながる"", ""meaning_vi"": ""1. Nối, kết nối 2. (Kéo dài) liên tục 3. Kết nối (điện thoại, mạng)""}"
N3-vocab-0745,extra_manual,"{""title"": ""(を)つなぐ"", ""reading"": """", ""meaning_vi"": ""Nối, kết nối""}","{""title"": ""(を)つなぐ"", ""reading"": ""つなぐ"", ""meaning_vi"": ""Nối, kết nối""}"
